order_id,order_date,customer_id,product_id,quantity,unit_price,discount_pct,sales_amount,channel,payment_method,shipping_priority
67,2024-04-06 09:00:00,23,279,32,18.43,5,560.27,Distributor,Invoice,Standard
68,2024-01-17 16:00:00,412,293,6,32.94,0,197.64,Key Account,Bank Transfer,Express
69,2024-05-21 11:00:00,85,1,291,40.41,5,11171.34,Key Account,Invoice,Express
70,2024-06-20 17:00:00,467,229,177,43.26,0,7657.02,Online,Credit Card,Express
71,2024-09-29 11:00:00,50,57,337,40.78,0,13742.86,Key Account,Invoice,Express
72,2024-08-17 04:00:00,175,75,43,32.04,0,1377.72,Online,Credit Card,Standard
73,2024-05-16 14:00:00,361,213,234,69.9,0,16356.6,Key Account,Credit Card,Standard
74,2024-10-23 09:00:00,34,227,335,32.62,0,10927.7,Key Account,Credit Card,Standard
75,2024-09-15 10:00:00,264,42,148,25.95,0,3840.6,Key Account,Credit Card,Standard
76,2024-02-19 08:00:00,202,283,314,30.58,0,9602.12,Key Account,Credit Card,Express
77,2024-04-11 15:00:00,226,202,193,28.04,0,5411.72,Online,Bank Transfer,Express
78,2024-12-21 16:00:00,26,138,167,10.59,0,1768.53,Key Account,Credit Card,Standard
79,2024-11-26 10:00:00,325,268,172,31.13,0,5354.36,Key Account,Bank Transfer,Standard
80,2024-11-21 12:00:00,382,170,252,40.24,0,10140.48,Online,Invoice,Express
81,2024-03-07 10:00:00,250,218,190,45.81,0,8703.9,Distributor,Invoice,Express
82,2024-04-01 10:00:00,480,167,217,35.11,10,6856.98,Distributor,Invoice,Standard
83,2024-07-31 05:00:00,315,235,298,31.41,0,9360.18,Online,Bank Transfer,Standard
84,2024-08-16 15:00:00,193,266,248,21.52,0,5336.96,Online,Bank Transfer,Express
85,2024-06-15 11:00:00,424,264,124,25.92,5,3053.38,Online,Invoice,Express
86,2024-04-15 18:00:00,215,35,86,47.99,0,4127.14,Online,Credit Card,Express
87,2024-10-25 18:00:00,204,31,360,12.13,5,4148.46,Distributor,Credit Card,Express
88,2024-07-29 13:00:00,60,114,68,28.1,10,1719.72,Key Account,Credit Card,Express
89,2024-03-08 16:00:00,376,92,68,27.54,0,1872.72,Key Account,Bank Transfer,Express
90,2024-02-09 15:00:00,153,225,341,35.65,0,12156.65,Distributor,Invoice,Express
91,2024-03-06 13:00:00,407,239,283,38.51,5,10353.41,Distributor,Bank Transfer,Express
92,2024-07-10 17:00:00,120,47,69,23.41,5,1534.53,Distributor,Bank Transfer,Standard
93,2024-12-24 12:00:00,56,276,363,24.76,5,8538.49,Online,Credit Card,Standard
94,2024-02-23 16:00:00,77,118,293,12.41,10,3272.52,Online,Invoice,Express
95,2024-11-20 16:00:00,157,101,34,27.87,10,852.82,Distributor,Credit Card,Express
96,2024-02-24 05:00:00,376,55,72,14.98,0,1078.56,Online,Invoice,Standard
97,2024-10-08 18:00:00,199,253,5,21.86,0,109.3,Distributor,Bank Transfer,Standard
98,2024-04-16 16:00:00,257,240,264,19.75,10,4692.6,Distributor,Bank Transfer,Express
99,2024-05-12 19:00:00,61,63,304,34.42,5,9940.5,Online,Invoice,Express
100,2024-04-22 02:00:00,318,164,100,28.38,0,2838.0,Online,Invoice,Standard
101,2024-04-05 12:00:00,225,69,52,19.39,0,1008.28,Distributor,Bank Transfer,Standard
102,2024-11-20 12:00:00,90,25,172,33.4,10,5170.32,Distributor,Invoice,Express
103,2024-04-10 09:00:00,488,266,235,21.52,0,5057.2,Online,Invoice,Express
104,2024-03-06 15:00:00,174,209,160,67.03,5,10188.56,Distributor,Credit Card,Standard
105,2024-01-06 18:00:00,45,179,390,47.78,0,18634.2,Online,Bank Transfer,Standard
106,2024-12-05 14:00:00,376,115,21,10.21,0,214.41,Online,Credit Card,Express
107,2024-04-29 18:00:00,110,228,274,22.3,0,6110.2,Online,Bank Transfer,Standard
108,2024-06-20 10:00:00,79,64,184,18.54,0,3411.36,Online,Credit Card,Express
109,2024-08-26 10:00:00,126,51,394,40.01,0,15763.94,Distributor,Invoice,Express
110,2024-07-24 16:00:00,316,50,237,20.64,0,4891.68,Distributor,Invoice,Express
111,2024-03-31 10:00:00,221,103,381,24.87,10,8527.92,Key Account,Bank Transfer,Standard
112,2024-07-13 22:00:00,222,109,148,25.97,0,3843.56,Online,Invoice,Express
113,2024-07-01 14:00:00,221,211,269,55.6,5,14208.58,Distributor,Invoice,Express
114,2024-05-16 11:00:00,390,125,392,19.67,5,7325.11,Online,Bank Transfer,Standard
115,2024-07-15 16:00:00,466,228,214,22.3,0,4772.2,Key Account,Bank Transfer,Express
116,2024-02-16 16:00:00,112,56,392,28.17,5,10490.51,Online,Bank Transfer,Express
117,2024-10-24 15:00:00,262,269,184,24.35,0,4480.4,Key Account,Invoice,Standard
118,2024-02-22 03:00:00,446,266,62,21.52,5,1267.53,Distributor,Bank Transfer,Standard
119,2024-09-07 23:00:00,431,134,330,8.5,0,2805.0,Online,Invoice,Standard
120,2024-08-06 22:00:00,344,27,279,33.96,5,9001.1,Distributor,Bank Transfer,Standard
121,2024-02-03 11:00:00,381,173,163,58.45,0,9527.35,Key Account,Credit Card,Standard
122,2024-11-17 18:00:00,298,69,136,19.39,0,2637.04,Online,Bank Transfer,Express
123,2024-05-08 01:00:00,342,22,372,13.93,0,5181.96,Distributor,Bank Transfer,Standard
124,2024-03-30 09:00:00,275,298,381,43.04,5,15578.33,Key Account,Bank Transfer,Standard
125,2024-04-13 10:00:00,212,54,23,25.46,0,585.58,Distributor,Invoice,Express
126,2024-04-25 23:00:00,20,112,257,8.21,5,2004.47,Online,Bank Transfer,Express
127,2024-02-03 14:00:00,283,192,214,46.03,0,9850.42,Key Account,Credit Card,Standard
128,2024-08-22 06:00:00,80,290,225,23.56,0,5301.0,Distributor,Bank Transfer,Express
129,2024-07-29 15:00:00,139,123,249,20.38,0,5074.62,Online,Invoice,Express
130,2024-02-28 14:00:00,356,192,251,46.03,5,10975.85,Online,Invoice,Express
131,2024-12-12 08:00:00,239,7,227,47.86,0,10864.22,Online,Credit Card,Standard
132,2024-05-08 13:00:00,427,118,346,12.41,5,4079.17,Online,Credit Card,Express
133,2024-05-21 15:00:00,214,68,346,46.35,10,14433.39,Key Account,Invoice,Express
134,2024-04-14 00:00:00,250,78,72,25.32,0,1823.04,Distributor,Credit Card,Standard
135,2024-08-11 08:00:00,269,266,303,21.52,10,5868.5,Key Account,Credit Card,Standard
136,2024-09-12 13:00:00,171,253,43,21.86,0,939.98,Key Account,Credit Card,Standard
137,2024-06-27 23:00:00,486,96,91,23.35,5,2018.61,Key Account,Bank Transfer,Express
138,2024-01-15 11:00:00,142,261,14,30.31,5,403.12,Online,Bank Transfer,Express
139,2024-08-31 15:00:00,74,26,172,12.93,10,2001.56,Online,Bank Transfer,Standard
140,2024-04-01 00:00:00,500,297,9,20.42,5,174.59,Key Account,Credit Card,Express
141,2024-10-27 14:00:00,350,32,379,37.28,0,14129.12,Online,Credit Card,Express
142,2024-06-30 12:00:00,374,219,168,32.07,0,5387.76,Distributor,Credit Card,Standard
143,2024-10-19 18:00:00,500,138,60,10.59,10,571.86,Key Account,Invoice,Express
144,2024-09-18 15:00:00,98,236,45,22.15,5,946.91,Online,Credit Card,Express
145,2024-05-01 11:00:00,61,78,262,25.32,5,6302.15,Key Account,Invoice,Express
146,2024-02-07 09:00:00,243,55,235,14.98,0,3520.3,Key Account,Bank Transfer,Express
147,2024-05-05 11:00:00,430,28,107,25.57,10,2462.39,Online,Credit Card,Express
148,2024-09-30 23:00:00,47,273,76,25.03,5,1807.17,Online,Invoice,Standard
149,2024-10-09 12:00:00,454,293,41,32.94,0,1350.54,Key Account,Invoice,Express
150,2024-03-20 13:00:00,46,282,318,40.44,0,12859.92,Distributor,Bank Transfer,Express
151,2024-05-30 08:00:00,324,36,189,16.51,5,2964.37,Online,Bank Transfer,Express
152,2024-01-06 17:00:00,87,66,391,20.82,0,8140.62,Online,Bank Transfer,Standard
153,2024-10-03 23:00:00,49,247,148,26.75,5,3761.05,Key Account,Credit Card,Express
154,2024-06-24 21:00:00,104,87,105,22.16,0,2326.8,Distributor,Credit Card,Standard
155,2024-10-22 18:00:00,311,117,381,21.84,0,8321.04,Key Account,Bank Transfer,Standard
156,2024-07-24 10:00:00,496,287,255,41.5,10,9524.25,Distributor,Invoice,Standard
157,2024-05-31 10:00:00,287,286,253,37.3,5,8965.05,Distributor,Credit Card,Express
158,2024-12-06 18:00:00,104,174,4,25.62,0,102.48,Online,Invoice,Standard
159,2024-03-04 10:00:00,302,37,9,47.85,0,430.65,Distributor,Invoice,Express
160,2024-11-12 23:00:00,450,86,332,11.96,0,3970.72,Key Account,Invoice,Standard
161,2024-11-19 18:00:00,126,237,281,41.0,0,11521.0,Key Account,Invoice,Express
162,2024-07-29 18:00:00,486,88,49,27.42,10,1209.22,Distributor,Invoice,Express
163,2024-05-18 13:00:00,435,138,46,10.59,0,487.14,Online,Invoice,Express
164,2024-02-06 13:00:00,82,216,124,42.91,0,5320.84,Distributor,Invoice,Express
165,2024-07-22 17:00:00,397,24,387,18.59,5,6834.61,Distributor,Invoice,Express
166,2024-08-17 12:00:00,412,207,219,39.49,5,8215.89,Online,Bank Transfer,Standard
167,2024-05-01 10:00:00,171,23,198,27.49,0,5443.02,Distributor,Invoice,Express
168,2024-09-28 01:00:00,203,153,242,8.88,10,1934.06,Key Account,Bank Transfer,Express
169,2024-06-24 03:00:00,305,281,197,43.99,5,8232.73,Online,Invoice,Express
170,2024-11-14 12:00:00,58,60,157,31.67,0,4972.19,Distributor,Credit Card,Express
171,2024-10-13 17:00:00,423,39,346,31.0,5,10189.7,Online,Invoice,Express
172,2024-07-04 23:00:00,387,153,136,8.88,10,1086.91,Key Account,Credit Card,Standard
173,2024-01-05 08:00:00,82,92,133,27.54,5,3479.68,Distributor,Bank Transfer,Standard
174,2024-01-24 02:00:00,340,216,51,42.91,5,2078.99,Distributor,Credit Card,Express
175,2024-02-05 11:00:00,428,198,257,24.0,0,6168.0,Distributor,Credit Card,Standard
176,2024-10-27 18:00:00,303,112,274,8.21,10,2024.59,Online,Credit Card,Standard
177,2024-03-24 14:00:00,287,217,83,45.89,5,3618.43,Online,Invoice,Standard
178,2024-04-02 15:00:00,223,195,69,28.43,10,1765.5,Key Account,Invoice,Express
179,2024-12-11 13:00:00,400,18,238,19.57,5,4424.78,Online,Credit Card,Express
180,2024-10-23 22:00:00,142,144,101,6.37,0,643.37,Key Account,Credit Card,Express
181,2024-02-06 06:00:00,359,253,77,21.86,10,1514.9,Key Account,Credit Card,Express
182,2024-10-31 12:00:00,42,26,157,12.93,5,1928.51,Key Account,Invoice,Standard
183,2024-06-04 20:00:00,110,129,160,21.82,5,3316.64,Online,Credit Card,Standard
184,2024-07-03 23:00:00,38,8,216,49.14,10,9552.82,Key Account,Bank Transfer,Standard
185,2024-01-04 14:00:00,187,262,269,43.13,0,11601.97,Distributor,Invoice,Express
186,2024-02-22 01:00:00,456,221,278,30.73,5,8115.79,Online,Bank Transfer,Express
187,2024-09-21 06:00:00,420,249,64,35.5,0,2272.0,Online,Credit Card,Express
188,2024-09-23 06:00:00,167,28,115,25.57,0,2940.55,Online,Invoice,Standard
189,2024-06-19 16:00:00,494,282,143,40.44,10,5204.63,Online,Credit Card,Express
190,2024-09-01 17:00:00,466,158,246,17.23,10,3814.72,Distributor,Credit Card,Standard
191,2024-01-07 01:00:00,330,19,185,20.33,0,3761.05,Distributor,Credit Card,Express
192,2024-05-31 16:00:00,198,48,355,11.62,0,4125.1,Distributor,Bank Transfer,Express
193,2024-07-13 17:00:00,183,239,215,38.51,0,8279.65,Online,Invoice,Standard
194,2024-06-29 11:00:00,255,290,119,23.56,5,2663.46,Online,Invoice,Standard
195,2024-11-06 10:00:00,211,68,257,46.35,0,11911.95,Distributor,Bank Transfer,Express
196,2024-04-10 11:00:00,222,237,161,41.0,10,5940.9,Online,Bank Transfer,Standard
197,2024-04-22 12:00:00,481,60,387,31.67,0,12256.29,Distributor,Bank Transfer,Standard
198,2024-05-22 09:00:00,246,240,238,19.75,0,4700.5,Key Account,Bank Transfer,Standard
199,2024-10-15 03:00:00,221,204,9,26.69,0,240.21,Key Account,Invoice,Express
200,2024-07-31 16:00:00,303,78,123,25.32,5,2958.64,Online,Bank Transfer,Standard
201,2024-05-10 20:00:00,19,233,223,38.42,0,8567.66,Online,Credit Card,Express
202,2024-09-17 13:00:00,355,33,4,36.44,5,138.47,Online,Invoice,Express
203,2024-08-25 02:00:00,5,299,361,31.13,10,10114.14,Key Account,Invoice,Standard
204,2024-09-15 13:00:00,3,272,249,19.21,0,4783.29,Key Account,Invoice,Express
205,2024-08-11 19:00:00,4,186,305,45.75,0,13953.75,Online,Invoice,Standard
206,2024-03-14 09:00:00,368,237,269,41.0,10,9926.1,Key Account,Bank Transfer,Standard
207,2024-05-06 23:00:00,204,122,228,28.37,0,6468.36,Online,Bank Transfer,Standard
208,2024-02-25 15:00:00,480,66,17,20.82,5,336.24,Key Account,Invoice,Standard
209,2024-10-15 11:00:00,427,42,93,25.95,0,2413.35,Key Account,Bank Transfer,Standard
210,2024-02-01 02:00:00,245,277,377,29.25,0,11027.25,Online,Credit Card,Express
211,2024-12-26 12:00:00,219,153,62,8.88,0,550.56,Distributor,Invoice,Standard
212,2024-01-02 08:00:00,22,123,6,20.38,0,122.28,Distributor,Bank Transfer,Standard
213,2024-06-23 10:00:00,430,1,240,40.41,0,9698.4,Key Account,Bank Transfer,Standard
214,2024-04-07 03:00:00,80,250,323,21.46,5,6585.0,Online,Credit Card,Express
215,2024-01-17 15:00:00,392,49,271,39.28,0,10644.88,Distributor,Bank Transfer,Standard
216,2024-12-05 18:00:00,228,288,399,43.85,10,15746.54,Key Account,Invoice,Standard
217,2024-04-14 16:00:00,300,11,348,12.12,10,3795.98,Distributor,Bank Transfer,Express
218,2024-07-29 10:00:00,102,184,380,68.42,0,25999.6,Key Account,Invoice,Express
219,2024-07-31 15:00:00,460,128,37,11.95,0,442.15,Distributor,Invoice,Standard
220,2024-10-15 08:00:00,243,38,226,49.39,10,10045.93,Online,Bank Transfer,Express
221,2024-12-27 20:00:00,196,14,102,32.28,0,3292.56,Distributor,Credit Card,Standard
222,2024-03-17 12:00:00,330,138,67,10.59,0,709.53,Online,Bank Transfer,Express
223,2024-07-16 18:00:00,240,59,284,13.95,0,3961.8,Key Account,Bank Transfer,Express
224,2024-06-07 15:00:00,208,35,66,47.99,0,3167.34,Key Account,Invoice,Standard
225,2024-10-20 16:00:00,35,163,246,5.45,10,1206.63,Key Account,Bank Transfer,Express
226,2024-07-24 03:00:00,260,96,309,23.35,10,6493.64,Online,Invoice,Standard
227,2024-01-11 14:00:00,420,36,31,16.51,10,460.63,Key Account,Credit Card,Standard
228,2024-11-19 15:00:00,175,57,277,40.78,5,10731.26,Key Account,Invoice,Express
229,2024-08-21 08:00:00,101,256,254,19.54,5,4715.0,Online,Credit Card,Express
230,2024-03-01 23:00:00,292,253,304,21.86,10,5980.9,Online,Bank Transfer,Standard
231,2024-03-11 22:00:00,89,88,109,27.42,10,2689.9,Key Account,Bank Transfer,Express
232,2024-01-10 12:00:00,147,195,161,28.43,5,4348.37,Online,Bank Transfer,Express
233,2024-06-16 13:00:00,60,128,32,11.95,0,382.4,Key Account,Bank Transfer,Express
234,2024-10-03 15:00:00,11,86,118,11.96,10,1270.15,Distributor,Bank Transfer,Standard
235,2024-02-11 12:00:00,28,133,92,23.65,0,2175.8,Online,Invoice,Standard
236,2024-03-04 03:00:00,39,280,197,23.23,0,4576.31,Online,Invoice,Express
237,2024-07-02 11:00:00,267,104,51,15.78,0,804.78,Key Account,Invoice,Express
238,2024-07-13 00:00:00,83,102,181,14.7,5,2527.66,Online,Credit Card,Standard
239,2024-09-16 10:00:00,207,213,42,69.9,0,2935.8,Distributor,Bank Transfer,Standard
240,2024-03-25 00:00:00,435,5,123,14.81,10,1639.47,Key Account,Bank Transfer,Standard
241,2024-12-25 12:00:00,286,49,71,39.28,0,2788.88,Distributor,Invoice,Express
242,2024-05-08 00:00:00,265,111,176,13.59,10,2152.66,Distributor,Invoice,Express
243,2024-03-25 00:00:00,155,140,225,24.61,0,5537.25,Key Account,Credit Card,Standard
244,2024-11-02 17:00:00,107,156,160,5.06,0,809.6,Key Account,Credit Card,Express
245,2024-12-16 23:00:00,48,214,241,41.83,10,9072.93,Online,Credit Card,Express
246,2024-12-03 04:00:00,56,86,334,11.96,5,3794.91,Online,Invoice,Express
247,2024-09-04 07:00:00,228,1,239,40.41,5,9175.09,Key Account,Invoice,Express
248,2024-03-22 21:00:00,325,180,20,22.29,10,401.22,Key Account,Invoice,Standard
249,2024-04-27 01:00:00,304,117,199,21.84,10,3911.54,Distributor,Bank Transfer,Express
250,2024-03-02 09:00:00,86,55,372,14.98,0,5572.56,Online,Invoice,Express
251,2024-03-27 05:00:00,109,186,136,45.75,5,5910.9,Distributor,Bank Transfer,Express
252,2024-10-25 16:00:00,370,123,343,20.38,10,6291.31,Online,Bank Transfer,Express
253,2024-12-21 08:00:00,301,147,53,24.78,5,1247.67,Distributor,Bank Transfer,Standard
254,2024-09-20 11:00:00,167,130,220,8.54,0,1878.8,Key Account,Bank Transfer,Standard
255,2024-01-06 15:00:00,200,253,32,21.86,10,629.57,Distributor,Invoice,Express
256,2024-04-30 16:00:00,55,279,241,18.43,0,4441.63,Online,Invoice,Standard
257,2024-12-24 23:00:00,3,205,251,48.25,0,12110.75,Online,Credit Card,Express
258,2024-10-11 00:00:00,413,56,130,28.17,0,3662.1,Key Account,Invoice,Standard
259,2024-07-08 23:00:00,330,260,76,21.25,10,1453.5,Distributor,Credit Card,Express
260,2024-03-08 05:00:00,288,176,24,67.71,10,1462.54,Online,Credit Card,Express
261,2024-12-02 13:00:00,114,119,58,9.12,5,502.51,Distributor,Invoice,Standard
262,2024-05-29 05:00:00,281,241,61,42.44,0,2588.84,Online,Bank Transfer,Express
263,2024-10-31 06:00:00,427,139,253,9.21,0,2330.13,Online,Credit Card,Standard
264,2024-07-11 05:00:00,338,21,388,26.56,5,9790.02,Key Account,Bank Transfer,Standard
265,2024-07-30 03:00:00,328,161,397,17.9,10,6395.67,Distributor,Bank Transfer,Standard
266,2024-02-12 08:00:00,477,152,241,28.76,10,6238.04,Distributor,Credit Card,Express
267,2024-02-09 15:00:00,225,162,333,21.88,0,7286.04,Distributor,Bank Transfer,Standard
268,2024-04-14 09:00:00,411,152,352,28.76,10,9111.17,Distributor,Invoice,Standard
269,2024-05-13 16:00:00,262,178,243,24.99,0,6072.57,Key Account,Bank Transfer,Standard
270,2024-10-16 13:00:00,11,83,76,28.18,10,1927.51,Online,Invoice,Standard
271,2024-03-23 09:00:00,500,181,305,66.39,0,20248.95,Online,Bank Transfer,Express
272,2024-10-24 09:00:00,45,179,341,47.78,0,16292.98,Distributor,Bank Transfer,Standard
273,2024-05-13 12:00:00,396,196,328,49.21,10,14526.79,Online,Invoice,Standard
274,2024-05-07 04:00:00,68,73,320,40.32,0,12902.4,Distributor,Bank Transfer,Standard
275,2024-05-17 01:00:00,142,47,221,23.41,0,5173.61,Distributor,Invoice,Standard
276,2024-06-24 01:00:00,241,259,255,34.08,0,8690.4,Key Account,Invoice,Express
277,2024-01-20 10:00:00,383,43,238,31.85,0,7580.3,Distributor,Invoice,Express
278,2024-11-25 18:00:00,415,40,182,20.9,0,3803.8,Key Account,Invoice,Standard
279,2024-06-20 23:00:00,74,205,121,48.25,5,5546.34,Distributor,Bank Transfer,Express
280,2024-06-05 05:00:00,226,226,381,15.45,10,5297.81,Online,Credit Card,Express
281,2024-10-20 06:00:00,196,91,38,12.7,5,458.47,Distributor,Credit Card,Express
282,2024-07-18 14:00:00,343,66,229,20.82,0,4767.78,Online,Bank Transfer,Standard
283,2024-04-10 02:00:00,150,242,386,41.39,0,15976.54,Key Account,Invoice,Standard
284,2024-07-09 11:00:00,3,113,87,27.01,10,2114.88,Online,Credit Card,Standard
285,2024-04-23 06:00:00,74,89,42,13.07,10,494.05,Key Account,Invoice,Express
286,2024-05-27 22:00:00,251,35,244,47.99,0,11709.56,Key Account,Bank Transfer,Standard
287,2024-12-13 09:00:00,261,162,155,21.88,5,3221.83,Distributor,Credit Card,Standard
288,2024-09-07 21:00:00,338,74,156,16.08,0,2508.48,Distributor,Bank Transfer,Express
289,2024-11-28 17:00:00,313,115,302,10.21,0,3083.42,Online,Credit Card,Standard
290,2024-08-09 10:00:00,409,58,378,15.68,10,5334.34,Distributor,Credit Card,Express
291,2024-06-09 02:00:00,42,124,100,5.2,0,520.0,Distributor,Credit Card,Express
292,2024-02-20 21:00:00,435,161,221,17.9,0,3955.9,Online,Bank Transfer,Express
293,2024-06-03 22:00:00,250,261,98,30.31,5,2821.86,Online,Bank Transfer,Standard
294,2024-10-24 15:00:00,500,218,230,45.81,0,10536.3,Distributor,Invoice,Standard
295,2024-02-02 14:00:00,185,42,363,25.95,5,8948.86,Distributor,Invoice,Express
296,2024-04-28 12:00:00,406,197,170,24.82,5,4008.43,Distributor,Bank Transfer,Express
297,2024-11-18 06:00:00,362,230,57,22.05,0,1256.85,Online,Invoice,Express
298,2024-01-21 10:00:00,454,234,177,23.88,5,4015.42,Key Account,Invoice,Express
299,2024-04-30 05:00:00,474,287,384,41.5,0,15936.0,Key Account,Credit Card,Express
300,2024-12-15 21:00:00,462,89,63,13.07,0,823.41,Key Account,Bank Transfer,Standard
301,2024-07-07 17:00:00,309,274,154,42.94,10,5951.48,Key Account,Credit Card,Standard
302,2024-07-26 08:00:00,17,197,135,24.82,5,3183.16,Key Account,Invoice,Standard
